지역,망,측정소코드,측정소명,측정일시,아황산가스(SO2),일산화탄소(CO),오존(O3),이산화질소(NO2),미세먼지(PM10),초미세먼지(PM25),주소
서울 성북구,도시대기,111161,성북구,2024010101,0.0023,1.35,0.0018,0.0412,23,22,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010102,0.0022,1.17,0.0017,0.0379,20,9,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010103,0.0024,1.31,0.0017,0.0376,,25,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010104,0.0024,1.36,0.0016,0.0369,26,22,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010105,0.0024,1.15,0.0016,0.0335,21,15,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010106,0.0022,0.94,0.0014999999999999998,0.031,20,13,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010107,0.0022,1,0.0014999999999999998,0.0317,20,18,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010108,0.0023,1.1,0.0016,0.0333,17,17,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010109,0.0023,0.97,0.0023,0.0324,20,19,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010110,0.0023,0.92,0.0064,0.028100000000000003,19,17,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010111,0.0022,0.66,0.0158,0.0191,19,9,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010112,0.0023,0.55,0.0269,0.0119,13,11,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010113,0.0023,0.61,0.0244,0.016,22,12,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010114,0.0023,0.6,0.0264,0.017,20,20,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010115,0.0021,0.57,0.027600000000000003,0.017,19,15,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010116,0.0022,0.61,0.0208,0.0221,24,16,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010117,0.0021,0.59,0.0241,0.0204,20,15,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010118,0.0022,0.66,0.0237,0.0194,19,17,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010119,0.0026000000000000003,0.71,0.027100000000000003,0.0185,15,13,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010120,0.0027,0.74,0.0182,0.028699999999999996,23,16,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010121,0.0025,0.69,0.0222,0.0237,24,16,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010122,0.0024,0.7,0.0251,0.0199,28,28,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010123,0.0025,0.74,0.018,0.0222,,35,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010124,0.0025,0.73,0.0218,0.0188,,36,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010201,0.0024,0.74,0.0223,0.0167,46,28,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010202,0.0025,0.77,0.0183,0.0184,45,39,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010203,0.0024,0.72,0.0247,0.013500000000000002,50,39,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010204,0.0022,0.67,0.0263,0.0128,48,39,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010205,0.0022,0.67,0.0228,0.0171,47,36,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010206,0.0022,0.72,0.016,0.0231,51,44,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010207,0.0022,0.71,0.0131,0.028000000000000004,47,34,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010208,0.0021,0.67,0.0197,0.0225,43,38,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010209,0.0021,0.56,0.026000000000000002,0.0167,42,26,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010210,0.0021,0.55,0.0258,0.0169,38,24,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010211,0.0022,0.51,0.0273,0.0154,36,22,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010212,0.0022,0.49,0.029199999999999997,0.013599999999999998,37,,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010213,0.0022,0.53,0.0253,0.017,34,25,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010214,0.0021,0.5,0.0256,0.0177,31,27,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010215,0.002,0.43,0.0313,0.0122,28,24,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010216,0.0021,0.44,0.0309,0.0128,28,18,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010217,0.0021,0.43,0.0327,0.0117,29,20,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010218,0.0021,0.47,0.0301,0.0147,28,15,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010219,0.0023,0.57,0.014899999999999998,0.03,34,22,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010220,0.0022,0.53,0.0173,0.0262,34,20,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010221,0.002,0.51,0.0212,0.020600000000000004,28,22,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010222,0.0022,0.57,0.0152,0.0273,31,20,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010223,0.0021,0.54,0.0167,0.0257,30,11,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010224,0.0021,0.53,0.0151,0.0267,31,21,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010301,0.002,0.5,0.0218,0.0195,30,16,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010302,0.0019,0.5,0.0211,0.0198,24,15,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010303,0.0019,0.49,0.0214,0.0187,23,18,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010304,0.002,0.53,0.0178,0.0227,26,17,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010305,0.002,0.59,0.006,0.035,32,22,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010306,0.0021,0.66,0.0016,0.0401,36,25,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010307,0.0022,0.68,0.0016,0.0395,29,24,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010308,0.0022,0.74,0.0018,0.0397,33,17,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010309,0.0021,0.62,0.014200000000000003,0.028299999999999995,40,27,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010310,0.002,0.57,0.0209,0.020600000000000004,41,30,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010311,0.002,0.63,0.0152,0.027500000000000004,44,28,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010312,0.0021,0.64,0.0168,0.027500000000000004,43,31,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010313,0.0022,0.73,0.0087,0.0373,58,42,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010314,0.0022,0.7,0.0106,0.0343,57,43,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010315,0.0021,0.68,0.0105,0.0318,45,32,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010316,0.0021,0.58,0.021600000000000005,0.0195,36,31,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010317,0.002,0.56,0.0261,0.0161,34,26,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010318,0.002,0.57,0.0249,0.017,35,28,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010319,0.002,0.61,0.0242,0.0177,41,37,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010320,0.0021,0.64,0.0237,0.0187,40,36,서울 성북구 삼양로2길 70
서울 성북구,도시대기,111161,성북구,2024010321,0.0027,0.75,0.0314,0.0141,45,29,서울 성북구 삼양로2길 70
